Mean,Min,Max,Variance,Std Dev,Skewness,Kurtosis
0.00031766909430035824,-0.03891050583657585,0.05439330543933063,0.00021973800108031626,0.01482356236133259,0.6376125493354882,1.585622467256064
-0.0003933732356203405,-0.03586800573888094,0.039755351681957096,0.00017151977628278469,0.01309655589392817,0.43282778725859894,0.7561467312042174
-0.0008836158433415478,-0.03492063492063502,0.04991394148020656,0.00020889974190177577,0.014453364380025011,0.3659942184740201,1.0021563909900335
0.000851416582044214,-0.04519774011299438,0.06962025316455689,0.0002736134996665811,0.016541266567786792,1.025659417874181,3.6959730163928173
-0.0002152246805154854,-0.043316831683168244,0.0692041522491349,0.00034878960675858073,0.018675909797345368,0.6403104204302049,1.0365173917070827
-0.0017649079614728677,-0.04564907275320951,0.06578947368421062,0.0002635480990010124,0.016234164561227424,0.6282240990134165,2.242412232021602
0.00016626834757219904,-0.022556390977443552,0.06499999999999995,0.00016833939832525103,0.012974567365629231,1.7923938338394816,5.615753155938883
-0.000368682029307623,-0.03688524590163933,0.06694560669456062,0.0002366901212929156,0.015384736633849655,0.7147337377421898,2.3420292419184063
0.0013483542743521072,-0.032653061224489854,0.050980392156862786,0.00021758753802085025,0.014750848722051563,0.6783229355344726,1.222881521959307
-0.0006125868692385017,-0.03703703703703698,0.02690582959641241,0.0001360063223955642,0.011662174857013772,-0.3799545372991247,0.6756250049609909
-0.0006189593945666146,-0.055679287305122505,0.06862745098039236,0.00047561328326079015,0.021808559862145648,0.3320832038954735,0.7275270371546281
0.0012400900888100452,-0.03177004538577899,0.06390328151986191,0.00024186846981293612,0.01555212107118949,0.8117934869520778,1.699594008191582
-0.0009697118003001528,-0.03599550056242973,0.023017902813299296,0.00014006534138586238,0.011834920421610886,-0.18973092963149757,-0.3825992363600479
-0.0009791042153508259,-0.03587348758225428,0.01901100074762363,9.194693594302712e-05,0.00958889649245559,-0.8165927017455363,1.2483091870899035
-0.0007321224359258276,-0.0390625,0.06578947368421062,0.00022520112797965057,0.015006702768418204,0.6994118017867341,2.2467060865215336
-0.00029653337993238923,-0.021367521367521403,0.026431718061673992,0.00010020739475490612,0.01001036436674041,0.8390739165106178,-0.03923636564961619
-0.0008510064870867548,-0.04310479462751837,0.038730592049138535,0.00022162643026798267,0.014887122968121901,0.241591379844565,0.6635091245885776
-0.0011140062361434406,-0.04536489151873779,0.05048543689320395,0.00020229660288909192,0.014223101029279513,0.3712307579371518,1.2799092357192778
-0.000701536891726899,-0.03063063063063065,0.03362831858407067,0.00014734696876135653,0.012138655970137573,0.16739605704028554,0.1636153128966522
0.0006717401939089025,-0.03273762454531082,0.06969059777711029,0.0001951004611652233,0.013967836667330532,1.1476911325326302,4.21426363262262
-0.0005594315536969291,-0.025454545454545396,0.023417010116148385,7.834698963623274e-05,0.008851383487129723,0.15437400883496816,0.27130075450552216
0.0031578218523987014,-0.033037872683319924,0.06375545851528397,0.00025163653624797383,0.015863055703362258,0.8784684153745532,2.964805566287936
-0.0005373244641751248,-0.04753864138199759,0.0625814863102998,0.0002633899403955476,0.016229292664671113,0.7428456041698794,3.1300491686149527
0.0014063216772377183,-0.014799154334038112,0.06999999999999984,0.0001332150173219726,0.01154188101316127,2.3988325984750722,11.078166747758207
0.0016783970639102316,-0.04893117508958367,0.06913580246913575,0.000299226196433795,0.017298155868004976,0.7486631041933667,3.106812789186903
0.003211235248441841,-0.06302131603336436,0.06926406926406914,0.0004960487537652904,0.0222721519787669,0.24054940051027096,1.0708073020763802
0.0008308010336695093,-0.06077348066298349,0.06730769230769229,0.0003161942503563462,0.017781851713371873,-0.8884053325345131,4.402279202382199
0.0004297259052203036,-0.030364372469635637,0.06860706860706856,0.00018748621137947146,0.013692560439138893,1.0980943965288752,4.198126896524654
0.0021314023742384195,-0.06703910614525133,0.04783950617283961,0.00024088462594601973,0.0155204583033498,-0.6128063469413575,3.3640493504559554
0.0016866985221329917,-0.060096153846153855,0.06994818652849721,0.00026719903142472407,0.016346223766507177,0.32995852594327124,2.7537071015940064
0.0016103711205805102,-0.030800821355236097,0.05363984674329503,0.00016008051029120675,0.012652292689121871,0.47965759069778385,1.6942058857006161
-0.00028300256087900917,-0.06267806267806275,0.06984126984127004,0.00043871103653849163,0.020945429967859138,0.5090427229588991,1.4511960782958422
0.002370426710995989,-0.06035889070146816,0.06538461538461537,0.00043484013360090256,0.020852820758854244,0.49668340443381187,0.7953190969371282
0.0008902010486974796,-0.03399433427762033,0.06730769230769229,0.00019911822368170746,0.014110925684791465,0.8803059561133495,3.6828891190446287
0.0007185309406458237,-0.01799100449775115,0.03011583011583019,6.599972508571135e-05,0.0081240214848135,0.6833721793283271,0.8664201152337427
0.0008165230245463688,-0.05429864253393679,0.05507246376811592,0.00026316967660892937,0.01622250525069816,0.5127829249299974,1.4387829811303599
0.0009613322609448752,-0.04774381368267833,0.06910443136039657,0.0002594248119749778,0.01610666979778805,1.037982402339074,3.3031054893790053
0.001799276008651163,-0.05985915492957761,0.06999999999999984,0.0002978960032449443,0.017259664053652504,0.3592467241321275,2.5510093388381527
-0.0003608750209410394,-0.04889633975970942,0.04470938897168408,0.0001998865911071038,0.01413812544530228,-0.013819804926767267,1.2163625897884263
0.001240904292101589,-0.06702127659574464,0.05635359116022087,0.0003479029887995987,0.018652157751841977,-0.028756210094472663,1.8270953192257675
0.0010671991206630163,-0.027918781725888353,0.032432432432432545,0.00012299602771402714,0.011090357420481414,0.31148480666965056,0.6803892058479644
0.0016344470989231167,-0.02662037037037046,0.0696576151121604,0.00019322605883800512,0.013900577644040736,2.3016844348049204,8.81742425425224
0.0003793143279356103,-0.03765690376569053,0.06756756756756754,0.00036773499715760273,0.01917641773527065,0.9997704167329023,1.7713493462053194
-0.0004649196933300681,-0.015488867376573068,0.027358490566037785,4.7865445708872265e-05,0.006918485795957976,0.7475276271023452,1.530249268337906
0.00028452091281681364,-0.036363636363636376,0.06986899563318794,0.0003482304425661478,0.0186609335931016,1.1126478461203226,2.193192748544284
0.0003127233222204521,-0.012273533637830347,0.021863738602558636,3.473197481469316e-05,0.0058933839867000995,0.2906830693436547,0.775346501506756
-0.001107369840466321,-0.027331189710610992,0.039087947882736174,9.25841796845687e-05,0.009622067329039467,0.5059043567989634,2.4062332744776125
0.0005989141282315404,-0.022332506203473934,0.029972752043596618,0.00011919269226308378,0.01091754057757899,0.1081109946472514,-0.27046158026958755
