Stocks,mean,min,max,variance,std,skewness,kurtosis
SSB,17.558333333333334,15.05,19.85,1.3397790404040406,1.1574882463351586,0.5672317375973074,-0.532744860755074
SSI,25.827121212121213,23.7,27.9,1.1236432277318642,1.0600203902434444,-0.03849243724330456,-0.9865387045104046
STB,34.898106060606054,29.2,40.0,7.455583534205692,2.7304914455470635,-0.04186555474421162,-0.6542274846833025
SZC,40.89545454545454,35.25,46.2,8.797252066115703,2.966016194513392,-0.23156311769666396,-1.0522289919767411
TCB,24.339772727272727,22.1,28.0,1.7419597968319562,1.3198332458428057,0.9869867244593977,0.6385247487594623
TCH,16.065530303030304,13.5,18.35,1.547921688475666,1.2441550098262137,0.11725083282578733,-0.986480823923364
TLG,58.188030303030295,46.27,71.2,64.21586733241504,8.01348035078486,-0.25142251593062376,-1.4202888117395642
TPB,16.39212121212121,14.67,17.9,0.5142561065197429,0.7171165222749667,-0.3098612411705813,-0.09547615054383973
VCB,61.74189393939394,59.13,66.7,1.1512395948117538,1.0729583378732623,1.5730639279540741,5.536078341980863
VCG,18.87992424242424,17.1,22.2,2.2131386306244263,1.4876621359113857,0.9346860848798674,-0.4689741741662079
VCI,34.56257575757576,31.27,39.45,3.238305486685032,1.799529240297315,0.6161875705175864,0.14062088344349322
VGC,45.087424242424234,39.7,53.0,16.62320397153352,4.077156358484859,0.5578306272369262,-1.2068010369309405
VHC,70.12196969696969,65.0,74.1,3.2865036960514225,1.8128716711481325,0.07133789448256982,-0.21240807128634076
VHM,41.74848484848485,37.75,48.25,4.797952249770431,2.190422847253569,0.8232444928155555,0.4781079725624515
VIB,19.331439393939394,17.85,21.1,0.7794471705693298,0.8828630531228101,0.28131901024798267,-0.9862246720587029
VIC,41.552651515151524,39.9,52.2,3.604746757346189,1.8986170644303682,3.2133616166687387,12.700051835131868
VIX,10.722424242424243,9.04,12.45,0.7701835169880624,0.877601001018152,0.10202932278106903,-1.2421594540328593
VJC,101.58939393939393,96.0,108.9,10.264432966023874,3.2038153763948185,-0.186285232459672,-1.218313299854723
VND,13.710227272727275,11.25,15.45,1.1065431301652893,1.051923538174372,-0.4548389178743591,-0.7865688195285627
VNINDEX,1267.4936363636361,1205.15,1334.41,613.8171261707992,24.775333018363227,0.46550608209776895,0.45194856940652484
VNM,64.70810606060607,60.0,72.3,10.065038079660239,3.1725444172872095,0.7308817647594964,-0.4579125780296831
VPB,19.246590909090912,18.15,20.9,0.41614368112947675,0.6450919943151339,0.7049189548957623,-0.049074264232994214
VPI,58.043939393939404,56.1,59.9,0.8489784205693299,0.9214002499290577,-0.2057143969990811,-0.7918025371065509
VRE,17.857575757575756,16.1,20.1,0.8852077594123046,0.9408548025132808,0.2402030160627168,-0.7716943982482167
VTP,122.15848484848485,71.53,170.0,1069.752609825528,32.707072779836594,-0.30319533242112,-1.5161370940932979
